iter	Passed	Remaining
605	27469	17859
606	27514	17814
607	27557	17767
608	27623	17735
609	27676	17694
610	27722	17650
611	27771	17606
612	27817	17561
613	27861	17515
614	27903	17467
615	27948	17422
616	27987	17373
617	28032	17327
618	28074	17279
619	28115	17232
620	28162	17187
621	28206	17141
622	28248	17094
623	28292	17047
624	28337	17002
625	28380	16955
626	28423	16908
627	28468	16863
628	28513	16817
629	28557	16771
630	28595	16722
631	28638	16675
632	28686	16631
633	28730	16585
634	28772	16538
635	28816	16492
636	28870	16451
637	28915	16406
638	28960	16361
639	29006	16315
640	29049	16269
641	29095	16224
642	29142	16179
643	29187	16134
644	29231	16088
645	29274	16042
646	29320	15997
647	29363	15950
648	29406	15903
649	29447	15856
650	29493	15811
651	29535	15764
652	29581	15719
653	29626	15673
654	29668	15627
655	29713	15581
656	29758	15535
657	29803	15490
658	29847	15444
659	29891	15398
660	29934	15351
661	29976	15305
662	30021	15259
663	30062	15212
664	30107	15166
665	30145	15117
666	30192	15073
667	30232	15025
668	30276	14979
669	30319	14933
670	30363	14887
671	30408	14842
672	30452	14796
673	30495	14749
674	30539	14704
675	30618	14675
676	30669	14632
677	30715	14587
678	30761	14542
679	30812	14499
680	30854	14452
681	30895	14405
682	30939	14359
683	30984	14314
